id,Title,tags
11,Pursuit,"detect breslin cross path with calloway, a ruthless hacker desper to find hi wife, who ha been kidnap by a drug cartel. when calloway escap polic custody, breslin join forc with a no-nonsens femal cop to reclaim hi prisoner. but is callowayâ€™ crime-boss father somehow involv in thi explos situation? action crime thriller"
12,My Hero Academia: World Heroes' Mission,"a mysteri group call humar strongli believ in the quirk singular doomsday theori which state that when quirk get mix further in with futur generations, that power will bring forth the end of humanity. in order to save everyone, the pro-hero around the world ask ua academi heroes-in-train to assist them and form a world-class select hero team. it is up to the hero to save the world and the futur of hero in what is the most danger crisi to take place yet in my hero academia. anim action fantasi adventur"
13,Restless,"after go to extrem to cover up an accident, a corrupt cop' life spiral out of control when he start receiv threat from a mysteri witness. action thriller crime"
14,Nightmare Alley,an ambiti carniv man with a talent for manipul peopl with a few well-chosen word hook up with a femal psychiatrist who is even more danger than he is. crime drama thriller
15,The Ice Age Adventures of Buck Wild,the fearless one-ey weasel buck team up with mischiev possum brother crash & eddi as they head off on a new adventur into buck' home: the dinosaur world. anim comedi adventur famili
16,Texas Chainsaw Massacre,"in thi sequel, influenc look to breath new life into a texa ghost town encount leatherface, an infam killer who wear a mask of human skin. horror"
17,The Requin,"a coupl on a romant getaway find themselv strand at sea when a tropic storm sweep away their villa. in order to survive, they are forc to fight the elements, while shark circl below. thriller"
18,Looop Lapeta,"when her boyfriend lose a mobster' cash, savi race against the clock to save the day â€” if onli she can break out of a curiou cycl of dead ends. action comedi crime"
19,Red Notice,"an interpol-issu red notic is a global alert to hunt and captur the world' most wanted. but when a dare heist bring togeth the fbi' top profil and two rival criminals, there' no tell what will happen. action comedi crime thriller"
20,Tyler Perry's A Madea Homecoming,madea' back - hallelujer! and she' not put up with ani nonsens as famili drama erupt at her great-grandson' colleg graduat celebration. comedi
21,The Boss Baby: Family Business,the templeton brother â€” tim and hi boss babi littl bro ted â€” have becom adult and drift away from each other. but a new boss babi with a cutting-edg approach and a can-do attitud is about to bring them togeth again â€¦ and inspir a new famili business. anim comedi adventur famili
22,Turning Red,"thirteen-year-old mei is experienc the awkward of be a teenag with a twist â€“ when she get too excited, she transform into a giant red panda. anim famili comedi fantasi"
23,Brazen,mysteri writer grace miller ha killer instinct when it come to motiv - and she'll need everi bit of expertis to help solv her sister' murder. thriller mysteri drama
24,The House,"across differ eras, a poor family, an anxiou develop and a fed-up landladi becom tie to the same mysteri hous in thi anim dark comedy. anim drama comedi horror"
25,Blacklight,travi block is a shadowi govern agent who special in remov oper whose cover have been exposed. he then ha to uncov a deadli conspiraci within hi own rank that reach the highest echelon of power. action thriller
26,Ron's Gone Wrong,"in a world where walking, talking, digit connect bot have becom children' best friends, an 11-year-old find that hi robot buddi doesn't quit work the same as the other do. anim sciencefict famili comedi"
27,Free Guy,a bank teller call guy realiz he is a background charact in an open world video game call free citi that will soon go offline. comedi action adventur sciencefict
28,Cruella,"in 1970 london amidst the punk rock revolution, a young grifter name estella is determin to make a name for herself with her designs. she befriend a pair of young thiev who appreci her appetit for mischief, and togeth they are abl to build a life for themselv on the london streets. one day, estellaâ€™ flair for fashion catch the eye of the baro von hellman, a fashion legend who is devastatingli chic and terrifyingli haute. but their relationship set in motion a cours of event and revel that will caus estella to embrac her wick side and becom the raucous, fashion and revenge-b cruella. comedi crime"
29,The Suicide Squad,"supervillain harley quinn, bloodsport, peacemak and a collect of nutti con at bell reve prison join the super-secret, super-shadi task forc x as they are drop off at the remote, enemy-infus island of corto maltese. action adventur fantasi"
30,The Simpsons in Plusaversary,"the simpson host a disney+ day parti and everyon is on the listâ€¦ except homer. with friend from across the servic and music fit for a disney princess, plusaversari is springfield' event of the year. anim comedi fantasi"
31,Forgive Us Our Trespasses,"target by nazi as they hunt down and murder peopl with disabilities, a boy with a limb differ make a dare decis while run for hi life. drama war"
32,Luca,luca and hi best friend alberto experi an unforgett summer on the italian riviera. but all the fun is threaten by a deeply-held secret: they are sea monster from anoth world just below the waterâ€™ surface. anim comedi famili fantasi
33,Mortal Kombat,"washed-up mma fighter cole young, unawar of hi heritage, and hunt by emperor shang tsung' best warrior, sub-zero, seek out and train with earth' greatest champion as he prepar to stand against the enemi of outworld in a high stake battl for the universe. action fantasi adventur"
34,Zack Snyder's Justice League,"determin to ensur superman' ultim sacrific wa not in vain, bruce wayn align forc with diana princ with plan to recruit a team of metahuman to protect the world from an approach threat of catastroph proportions. action adventur fantasi sciencefict"
35,Mother/Android,"georgia and her boyfriend sam go on a treacher journey to escap their country, which is caught in an unexpect war with artifici intelligence. day away from the arriv of their first child, the coupl must face no manâ€™ landâ€”a stronghold of the android uprisingâ€”in hope of reach safeti befor give birth. sciencefict thriller"
36,Exploits of a Young Don Juan,"roger is a 16-year-old who seek to lose hi virgin in thi erot drama. hi initi effort are unsuccessful, but world war i break out and men are seen march off to battle. roger goe overboard when he is present with sever amor opportunities. comedi drama"
37,Dune,"paul atreides, a brilliant and gift young man born into a great destini beyond hi understanding, must travel to the most danger planet in the univers to ensur the futur of hi famili and hi people. as malevol forc explod into conflict over the planet' exclus suppli of the most preciou resourc in existence-a commod capabl of unlock humanity' greatest potential-onli those who can conquer their fear will survive. sciencefict adventur"
38,The Last Warrior: Root of Evil,"peac and tranquil have set in belogorie. the evil wa defeat and ivan is now enjoy hi well-deserv fame. he is surround by hi family, friend and small wonder from the modern world that help him lead a comfort life. luckily, he ha hi magic sword to cut a gap between the world to get some suppli quit regularly. but when an ancient evil rise and the exist of the magic world is put to danger, ivan ha to team up with hi old friend and hi new rivals. they will set out on a long journey beyond the known world to find a way to defeat the enemi and to return peac to belogorie. fantasi adventur comedi"
39,The Privilege,a wealthi teen and hi friend attend an elit privat school uncov a dark conspiraci while look into a seri of strang supernatur events. horror
40,Queen of Spades,"accord to legend, an omin entiti known as the queen of spade can be summon by perform an ancient ritual. four teenag summon the queen of spades, but they could never imagin the horror that await them. horror"
41,Antlers,"a small-town oregon teacher and her brother, the local sheriff, discov a young student is harbour a danger secret that could have frighten consequences. drama horror mysteri"
42,Dangerous,"a reform sociopath head to a remot island after the death of hi brother. soon after hi arrival, the island fall under sieg from a deadli gang of mercenaries, and when he discov their role in hi brotherâ€™ demise, he set out on a relentless quest for vengeance. action thriller"
43,After We Fell,"just as tessa' life begin to becom unglued, noth is what she thought it would be. not her friend nor her family. the onli person that she should be abl to reli on is hardin, who is furiou when he discov the massiv secret that she' been keeping. befor tessa make the biggest decis of her life, everyth chang becaus of revel about her family. romanc drama"
44,No Time to Die,"bond ha left activ servic and is enjoy a tranquil life in jamaica. hi peac is short-liv when hi old friend felix leiter from the cia turn up ask for help. the mission to rescu a kidnap scientist turn out to be far more treacher than expected, lead bond onto the trail of a mysteri villain arm with danger new technology. adventur action thriller"
45,Sooryavanshi,"a fearless, faith albeit slightli forget mumbai cop, veer sooryavanshi, the chief of the anti-terror squad in india pull out all the stop and stunt to thwart a major conspiraci to attack hi city. action crime thriller"
46,Finch,"on a post-apocalypt earth, a robot, built to protect the life of hi die creator' belov dog, learn about life, love, friendship, and what it mean to be human. sciencefict drama adventur"
47,Two,"two people, a man and a woman, wake up nake and with their abdomen attach to each other. thriller horror"
48,PAW Patrol: The Movie,ryder and the pup are call to adventur citi to stop mayor humding from turn the bustl metropoli into a state of chaos. anim famili adventur comedi
49,Avengers: Infinity War,"as the aveng and their alli have continu to protect the world from threat too larg for ani one hero to handle, a new danger ha emerg from the cosmic shadows: thanos. a despot of intergalact infamy, hi goal is to collect all six infin stones, artifact of unimagin power, and use them to inflict hi twist will on all of reality. everyth the aveng have fought for ha led up to thi moment - the fate of earth and exist itself ha never been more uncertain. adventur action sciencefict"
50,Batman,"batman must face hi most ruthless nemesi when a deform madman call himself the joker"""""""" seiz control of gotham' crimin underworld."""""""" fantasi action"
51,Black Widow,"natasha romanoff, also known as black widow, confront the darker part of her ledger when a danger conspiraci with tie to her past arises. pursu by a forc that will stop at noth to bring her down, natasha must deal with her histori as a spi and the broken relationship left in her wake long befor she becam an avenger. action adventur sciencefict"
52,The Wonderful Winter of Mickey Mouse,the wonder of the winter season take mickey mous and hi friend on a journey through three magic stories. anim comedi
53,F9,domin toretto and hi crew battl the most skill assassin and high-perform driver they'v ever encountered: hi forsaken brother. action crime thriller adventur
54,Moonfall,a mysteri forc knock the moon from it orbit around earth and send it hurtl on a collis cours with life as we know it. action adventur sciencefict
55,"Sex, Shame and Tears 2","twenti year have pass sinc those two apart in the heart of mexico citi were the battlefield of a war of the sex between ana, carlos, andrea, miguel, tomã¡ and marã­a. all that is left of those apart are memori and the imag of tomã¡s' dead bodi at the bottom of the elev shaft. their live have changed, their famili have grown and new and unexpect charact have come to unsettl their daili live and trigger a chain of event that will make them realiz that modesti ha been replac by public disclosure; sex is onli an app away; but love...lov is still someth elus that everyon in today' banal and chaotic world is seeking. comedi drama"
56,Diary of a Wimpy Kid,greg heffley is a scrawni but ambiti kid with an activ imagin and big plan to be rich and famou â€“ he just ha to surviv middl school first. anim comedi famili
57,AI Love You,"a modern love stori set in the near futur where an ai build is power by human feelings. due to a softwar glitch, it fall in love with a real girl, escap the build into the bodi of a real man, and tri to win her affections. comedi romanc sciencefict"
58,Sonic the Hedgehog 2,"after settl in green hills, sonic is eager to prove he ha what it take to be a true hero. hi test come when dr. robotnik returns, thi time with a new partner, knuckles, in search for an emerald that ha the power to destroy civilizations. sonic team up with hi own sidekick, tails, and togeth they embark on a globe-trot journey to find the emerald befor it fall into the wrong hands. action sciencefict comedi famili"
59,Erax,monstrou creatur leap from a magic storybook and unleash mayhem and mischief for aunti opal and her tween niec nina in thi spooki short film. mysteri famili
60,Deathstroke: Knights & Dragons - The Movie,the assassin deathstrok tri to save hi famili from the wrath of h.i.v.e. and the murder jackal. anim action adventur sciencefict
61,The Last Duel,"king charl vi declar that knight jean de carroug settl hi disput with hi squire, jacqu le gris, by challeng him to a duel. action drama histori"
62,The Pirates: The Last Royal Treasure,"a gutsi crew of joseon pirat and bandit battl stormi waters, puzzl clue and milit rival in search of royal gold lost at sea. action adventur comedi histori"
63,Paranormal Activity: Next of Kin,"margot, a documentari filmmaker, head to a seclud amish commun in the hope of learn about her long-lost mother and extend family. follow a string of strang occurr and discoveries, she come to realiz thi commun may not be what it seems. horror mysteri thriller"
64,House of Gucci,"when patrizia reggiani, an outsid from humbl beginnings, marri into the gucci family, her unbridl ambit begin to unravel the famili legaci and trigger a reckless spiral of betrayal, decadence, revenge, and ultimatelyâ€¦murder. drama crime thriller"
65,Dark Spell,terror strike when a heartbroken woman use black magic to get her husband back. romanc horror thriller
66,Jungle Cruise,"dr. lili houghton enlist the aid of wisecrack skipper frank wolff to take her down the amazon in hi dilapid boat. together, they search for an ancient tree that hold the power to heal â€“ a discoveri that will chang the futur of medicine. action adventur comedi fantasi"
67,Godzilla vs. Kong,"in a time when monster walk the earth, humanityâ€™ fight for it futur set godzilla and kong on a collis cours that will see the two most power forc of natur on the planet collid in a spectacular battl for the ages. action fantasi sciencefict"
68,The Amazing Spider-Man,"peter parker is an outcast high schooler abandon by hi parent as a boy, leav him to be rais by hi uncl ben and aunt may. like most teenagers, peter is tri to figur out who he is and how he got to be the person he is today. as peter discov a mysteri briefcas that belong to hi father, he begin a quest to understand hi parents' disappear â€“ lead him directli to oscorp and the lab of dr. curt connors, hi father' former partner. as spider-man is set on a collis cours with connors' alter ego, the lizard, peter will make life-alt choic to use hi power and shape hi destini to becom a hero. action adventur fantasi"
69,Heart Shot,teenag nikki and sam are in love and plan their futur togeth â€” until nikki' danger past return to threaten everything. romanc crime
70,Avatar,"in the 22nd century, a parapleg marin is dispatch to the moon pandora on a uniqu mission, but becom torn between follow order and protect an alien civilization. action adventur fantasi sciencefict"
71,Mobile Suit Gundam Hathaway,"after char' rebellion, hathaway noa lead an insurg against earth federation, but meet an enemi offic and a mysteri woman alter hi fate. anim action drama sciencefict"
72,Army of Thieves,a mysteri woman recruit bank teller ludwig dieter to lead a group of aspir thiev on a top-secret heist dure the earli stage of the zombi apocalypse. crime comedi
73,UFO,"when aspir musician and student deniz fall for a rough-hewn motorbik racer, tragedi and famili opposit obstruct their path to love. drama romanc"
74,The Weekend Away,"when her best friend vanish dure a girls' trip to croatia, beth race to figur out what happened. but each clue yield anoth unsettl deception. thriller mysteri"
75,The Croods: A New Age,"search for a safer habitat, the prehistor crood famili discov an idyllic, walled-in paradis that meet all of it needs. unfortunately, they must also learn to live with the betterman -- a famili that' a coupl of step abov the crood on the evolutionari ladder. as tension between the new neighbor start to rise, a new threat soon propel both clan on an epic adventur that forc them to embrac their differences, draw strength from one another, and surviv together. anim famili adventur fantasi comedi"
76,Back to the Outback,"tire of be lock in a reptil hous where human gawk at them like they are monsters, a ragtag group of australiaâ€™ deadliest creatur plot an escap from their zoo to the outback, a place where theyâ€™ll fit in without be judged. anim famili adventur comedi"
77,The Tomorrow War,"the world is stun when a group of time travel arriv from the year 2051 to deliv an urgent message: thirti year in the future, mankind is lose a global war against a deadli alien species. the onli hope for surviv is for soldier and civilian from the present to be transport to the futur and join the fight. among those recruit is high school teacher and famili man dan forester. determin to save the world for hi young daughter, dan team up with a brilliant scientist and hi estrang father in a desper quest to rewrit the fate of the planet. action sciencefict adventur"
78,Home Team,"two year after a super bowl win when nfl head coach sean payton is suspended, he goe back to hi hometown and find himself reconnect with hi 12-year-old son by coach hi pop warner footbal team. famili comedi"
79,The Fallout,"in the wake of a school tragedy, vada, mia and quinton form a uniqu and dynam bond as they navig the never linear, often confus journey to heal in a world that feel forev changed. drama"
80,Batman Begins,"driven by tragedy, billionair bruce wayn dedic hi life to uncov and defeat the corrupt that plagu hi home, gotham city. unabl to work within the system, he instead creat a new identity, a symbol of fear for the crimin underworld - the batman. action crime drama"
81,The Royal Treatment,"isabella run her own salon and isnâ€™t afraid to speak her mind, while princ thoma run hi own countri and is about to marri for duti rather than love. when izzi and her fellow stylist get the opportun of a lifetim to do the hair for the royal wedding, she and princ thoma learn that take control of their own destini requir follow their hearts. romanc comedi"
82,Ciao Alberto,"with hi best friend luca away at school, alberto is enjoy hi new life in portorosso work alongsid massimo â€“ the imposing, tattooed, one-arm fisherman of few word â€“ who' quit possibl the coolest human in the entir world as far as alberto is concerned. he want more than anyth to impress hi mentor, but it' easier said than done. anim comedi famili fantasi"
83,Gone Mom: The Disappearance of Jennifer Dulos,"jennif dulos, the wealthy, connecticut mother-of-f who mysteri vanished. tvmovi thriller crime"
84,Ripper Untold,a detect and a medic examin join forc to solv a seri of horrif murder in victorian london - but one of them harbor a deadli secret. horror
85,Meander,"after get a car ride from an unknown man, lisa wake up in a tube. on her arm is strap a bracelet with a countdown. she quickli understand that everi 8 minutes, fire burn an occupi section. she ha no choic but to crawl into safe section to survive. to know whi sheâ€™ there and how to get out, lisa will have to face the memori of her dead daughterâ€¦ horror sciencefict drama thriller"
86,Zeros and Ones,"call to rome to stop an immin terrorist bombing, a soldier desper seek news of hi imprison brother â€” a rebel with knowledg that could thwart the attack. navig the capital' darken streets, he race to a seri of omin encount to keep the vatican from be blown to bits. thriller war"
87,Snake Eyes: G.I. Joe Origins,"after save the life of their heir apparent, tenaci loner snake eye is welcom into an ancient japanes clan call the arashikag where he is taught the way of the ninja warrior. but, when secret from hi past are revealed, snake eyes' honor and allegi will be test â€“ even if that mean lose the trust of those closest to him. action adventur"
88,Survive the Game,"when cop david is injur in a drug bust gone wrong, hi partner cal chase the two crimin who shot him. they all land at a remot farm own by troubl vet eric, and as cal and eric plot their defense, more of the gang arriv - along with a wound david. outnumbered, the three hero must use stealth, smarts, and good shoot to take down the drug-deal mob. action thriller crime"
89,Riverdance: The Animated Adventure,a young irish boy name keegan and spanish girl name moya journey into a magic world of the megalocero giganteu who teach them to appreci riverd as a celebr of life. base on the stage show phenomenon of the same name and featur bill whelanâ€™ multi-platinum grammi award-win music. anim fantasi music adventur comedi famili
90,Apex,"ex-cop thoma malon is serv a life sentenc for a crime he didnâ€™t commit. he is offer a chanc at freedom if he can surviv a deadli game of apex, in which six hunter pay for the pleasur of hunt anoth human on a remot island. he accepts, and onc he arrives, all hell break loose. action thriller sciencefict"
91,The Tinder Swindler,"pose as a wealthy, jet-set diamond mogul, an isra conman woo women onlin then con them out of million of dollars. now some victim plan for payback. documentari crime"
92,Love Tactics,"an ad execut and a fashion designer-blogg don't believ in love, so they place a bet to make the other fall head over heel - with unusu tactics. romanc comedi"
93,The Addams Family 2,the addam get tangl up in more wacki adventur and find themselv involv in hilari run-in with all sort of unsuspect characters. anim adventur comedi famili
94,Dynasty Warriors,"in the turbul late eastern han dynasty. ambiti dong zhuo control the court and the commonalty, and hero from all over the countri begin to rise. action adventur fantasi"
95,Miraculous World: Shanghai â€“ The Legend of Ladydragon,"on school break, marinett head to shanghai to meet adrien. but after arriving, marinett lose all her stuff, includ the miracul that allow her to turn into ladybug! anim comedi famili adventur"
96,"Miraculous World: New York, United HeroeZ","dure a school field trip, ladybug and cat noir meet the american superheroes, whom they have to save from an akumatis super-villain. they discov that miracul exist in the unit state too. anim famili comedi adventur tvmovi"
97,Surviving Paradise: A Family Tale,"as the kalahari desert face a worsen dri season, prides, pack and herd of all kind must reli on the power of famili to survive. documentari"
98,My Hero Academia: Heroes Rising,"class 1-a visit nabu island where they final get to do some real hero work. the place is so peac that it' more like a vacat â€¦ until they'r attack by a villain with an unfathom quirk! hi power is eerili familiar, and it look like shigaraki had a hand in the plan. but with all might retir and citizens' live on the line, there' no time for questions. deku and hi friend are the next gener of heroes, and they'r the island' onli hope. anim action fantasi adventur"
99,Amina,"in 16th-centuri zazzau, now zaria, nigeria, amina must util her militari skill and tactic to defend her family' kingdom. base on a true story. war histori drama"
100,Encounter,"a decor marin goe on a rescu mission to save hi two young son from an unhuman threat. as their journey take them in increasingli danger directions, the boy will need to leav their childhood behind. adventur drama"
101,Son,"when a young boy contract a mysteri illness, hi mother must decid how far she will go to protect him from terrifi forc in her past. horror thriller"
102,Wonder Woman 1984,a botch store robberi place wonder woman in a global battl against a power and mysteri ancient forc that put her power in jeopardy. action adventur fantasi
103,The Amazing Spider-Man 2,"for peter parker, life is busy. between take out the bad guy as spider-man and spend time with the person he loves, gwen stacy, high school graduat cannot come quickli enough. peter ha not forgotten about the promis he made to gwenâ€™ father to protect her by stay away, but that is a promis he cannot keep. thing will chang for peter when a new villain, electro, emerges, an old friend, harri osborn, returns, and peter uncov new clue about hi past. action adventur fantasi"
104,The Whole Truth,"when two sibl stumbl on a strang hole in the wall of their grandparentsâ€™ house, horrifi incid reveal sinist secret about their family. horror"
105,Catwoman: Hunted,"catwoman' attempt to steal a priceless jewel put her squar in the crosshair of both a power consortium of villain and the ever-resourc interpol, not to mention batwoman. anim action crime"
106,Hacksaw Ridge,"wwii american armi medic desmond t. doss, who serv dure the battl of okinawa, refus to kill peopl and becom the first conscienti objector in american histori to receiv the congression medal of honor. drama histori war"
107,Crazy Fist,"after an oppon die mid-match, a promin mma champion swore never to fight again and retir to run hi family' company. but when hi best friend die under suspici circumstances, he ha no choic but to step back in the ring. action"
108,Harry Potter and the Philosopher's Stone,"harri potter ha live under the stair at hi aunt and uncle' hous hi whole life. but on hi 11th birthday, he learn he' a power wizardâ€”with a place wait for him at the hogwart school of witchcraft and wizardry. as he learn to har hi newfound power with the help of the school' kindli headmaster, harri uncov the truth about hi parents' deathsâ€”and about the villain who' to blame. adventur fantasi"
109,The Avengers,"when an unexpect enemi emerg and threaten global safeti and security, nick fury, director of the intern peacekeep agenc known as s.h.i.e.l.d., find himself in need of a team to pull the world back from the brink of disaster. span the globe, a dare recruit effort begins! sciencefict action adventur"
110,Dragon Fury,a group of soldier are taken to the mountain of wale to investig a strang look monster. horror fantasi mysteri
111,Tarumama,"sara and ã“scar, a coupl go through a marit crisis, decid to spend a week in a remot countri cabin with their two children, alicia and tomã¡s. the famili tri to have a quiet time, but someth strang happen there. there is a woman who prowl through the forest and cri uncontrol look for a babi she ha just lost. thi deepli affect the famili who will have to stay togeth to surviv thi nightmare. horror drama"
112,Doctor Strange,"after hi career is destroyed, a brilliant but arrog surgeon get a new leas on life when a sorcer take him under her wing and train him to defend the world against evil. action adventur fantasi sciencefict"
113,Halloween Kills,"the nightmar isn't over as unstopp killer michael myer escap from lauri strode' trap to continu hi ritual bloodbath. injur and taken to the hospital, lauri fight through the pain as she inspir resid of haddonfield, to rise up against myers. take matter into their own hands, the strode women and other survivor form a vigilant mob to hunt down michael and end hi reign of terror onc and for all. horror thriller"
114,The Exorcism of God,"an american priest work in mexico is consid a saint by mani local parishioners. however, due to a botch exorcism, he carri a secret thatâ€™ eat him aliv until he get an opportun to face hi demon one final time. horror"
115,Spider-Man: Far From Home,"peter parker and hi friend go on a summer trip to europe. however, they will hardli be abl to rest - peter will have to agre to help nick furi uncov the mysteri of creatur that caus natur disast and destruct throughout the continent. action adventur sciencefict"
116,Harry Potter 20th Anniversary: Return to Hogwarts,"an enchant making-of stori told through all-new in-depth interview and cast conversations, invit fan on a magic first-person journey through one of the most belov film franchis of all time. documentari"
117,After We Collided,tessa find herself struggl with her complic relationship with hardin; she face a dilemma that could chang their live forever. romanc drama
118,The Desperate Hour,a woman desper race to save her child after polic place her hometown on lockdown due to an activ shooter incident. thriller
119,Harry Potter and the Chamber of Secrets,"car fly, tree fight back, and a mysteri house-elf come to warn harri potter at the start of hi second year at hogwarts. adventur and danger await when bloodi write on a wall announces: the chamber of secret ha been opened. to save hogwart will requir all of harry, ron and hermioneâ€™ magic abil and courage. adventur fantasi"
120,Sonic the Hedgehog,"base on the global blockbust videogam franchis from sega, sonic the hedgehog tell the stori of the worldâ€™ speediest hedgehog as he embrac hi new home on earth. in thi live-act adventur comedy, sonic and hi new best friend team up to defend the planet from the evil geniu dr. robotnik and hi plan for world domination. action sciencefict comedi famili"
121,Coco,"despit hi familyâ€™ baffl generations-old ban on music, miguel dream of becom an accomplish musician like hi idol, ernesto de la cruz. desper to prove hi talent, miguel find himself in the stun and color land of the dead follow a mysteri chain of events. along the way, he meet charm trickster hector, and together, they set off on an extraordinari journey to unlock the real stori behind miguel' famili history. famili anim fantasi music comedi adventur"
122,Ava,"ava, 13, is spend the summer on the atlant coast when she learn that she will lose her sight sooner than expected. her mother decid to act as if everyth were normal so as to spend their best summer ever. ava confront the problem in her own way. she steal a big black dog that belong to a young man on the run... drama"
123,Fury,"in the last month of world war ii, as the alli make their final push in the european theatre, a battle-harden u.s. armi sergeant name 'wardaddy' command a sherman tank call 'fury' and it five-man crew on a deadli mission behind enemi lines. outnumb and outgunned, wardaddi and hi men face overwhelm odd in their heroic attempt to strike at the heart of nazi germany. war drama action"
124,Don't Breathe 2,"the blind man ha been hide out for sever year in an isol cabin and ha taken in and rais a young girl orphan from a devast hous fire. their quiet life togeth is shatter when a group of crimin kidnap the girl, forc the blind man to leav hi safe haven to save her. thriller horror"
125,Monster Hunter,"a portal transport cpt. artemi and an elit unit of soldier to a strang world where power monster rule with deadli ferocity. face with relentless danger, the team encount a mysteri hunter who may be their onli hope to find a way home. action fantasi adventur"
126,The Last: Naruto the Movie,"two year after the event of the fourth great ninja war, the moon that hagoromo otsutsuki creat long ago to seal away the gedo statu begin to descend toward the world, threaten to becom a meteor that would destroy everyth on impact. amidst thi crisis, a direct descend of kaguya otsutsuki name toneri otsutsuki attempt to kidnap hinata hyuga but end up abduct her younger sister hanabi. naruto and hi alli now mount a rescu mission befor find themselv embroil in a final battl to decid the fate of everything. action romanc anim"
127,Spider-Man: Homecoming,"follow the event of captain america: civil war, peter parker, with the help of hi mentor toni stark, tri to balanc hi life as an ordinari high school student in queens, new york city, with fight crime as hi superhero alter ego spider-man as a new threat, the vulture, emerges. action adventur sciencefict drama"
128,Bigbug,"human have cede most task to ai in 2045, even in nostalg alice' home. so when robot stage a coup, her android protect lock her doors. sciencefict comedi"
129,Spider-Man,"after be bitten by a genet alter spider at oscorp, nerdi but endear high school student peter parker is endow with amaz power to becom the superhero known as spider-man. fantasi action"
130,Avengers: Endgame,"after the devast event of avengers: infin war, the univers is in ruin due to the effort of the mad titan, thanos. with the help of remain allies, the aveng must assembl onc more in order to undo thanos' action and restor order to the univers onc and for all, no matter what consequ may be in store. adventur sciencefict action"
131,Old,a group of famili on a tropic holiday discov that the seclud beach where they are stay is somehow caus them to age rapidli â€“ reduc their entir live into a singl day. thriller mysteri horror
132,Real Steel,"charli kenton is a washed-up fighter who retir from the ring when robot took over the sport. after hi robot is trashed, he reluctantli team up with hi estrang son to rebuild and train an unlik contender. action sciencefict drama"
133,Love and Leashes,"love never hurt so good for two co-work who enter a contractu relationship as partner in consensu play, pleasur and pain. romanc comedi"
134,After,"tessa young is a dedic student, duti daughter and loyal girlfriend to her high school sweetheart. enter her first semest of college, tessa' guard world open up when she meet hardin scott, a mysteri and brood rebel who make her question all she thought she knew about herself -- and what she want out of life. romanc drama"
135,The Forever Purge,all the rule are broken as a sect of lawless maraud decid that the annual purg doe not stop at daybreak and instead should never end as they chase a group of immigr who they want to punish becaus of their harsh histor past. horror action thriller
136,Tall Girl 2,"after jodi kreyman gain popularity, her miscommun start caus rift with those around her and now she realli need to stand tall""""""""."""""""" comedi drama romanc"
137,Dog,an armi ranger and hi dog embark on a road trip along the pacif coast highway to attend a friend' funeral. drama comedi
138,I Am Legend,"robert nevil is a scientist who wa unabl to stop the spread of the terribl viru that wa incur and man-made. immune, nevil is now the last human survivor in what is left of new york citi and perhap the world. for three years, nevil ha faith sent out daili radio messages, desper to find ani other survivor who might be out there. but he is not alone. drama sciencefict thriller"
